
══════════════════════════════════════════════════════════════════════════════
▌ M1 — BUDGET DES BLOCS INJECTÉS  (tokens estimés à 4 car./token)
══════════════════════════════════════════════════════════════════════════════

══════════════════════════════════════════════════════════════════════════════
▌ 1. LE RÉEL — doctrines présentes en base locale
══════════════════════════════════════════════════════════════════════════════
  204 doctrine(s).

  publiée │ entrées │ default │  max variante │ écart variantes
  ────────┼─────────┼─────────┼───────────────┼────────────────
     oui  │       4 │    1236 │          1236 │              0
     non  │       0 │     253 │           253 │              0
     oui  │       0 │     253 │           253 │              0
     oui  │       0 │     253 │           253 │              0
     oui  │       0 │     253 │           253 │              0
     oui  │       0 │     253 │           253 │              0
     oui  │      15 │    3675 │          3675 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │      14 │    2597 │          2597 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       8 │    1829 │          1829 │              0
     oui  │       3 │    1004 │          1004 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
     oui  │       1 │     328 │           328 │              0
