═══ ÉPREUVE DU NOM NU — même aliment, même règle, deux langues ═══
aliments : 150   (formes anglaises réellement observées dans le corpus : 136/150)

langue | bon aliment | AUTRE aliment | RIEN
EN     | 150 100.0 % |   0   0.0 % |   0   0.0 %
FR     | 147  98.0 % |   3   2.0 % |   0   0.0 %

ÉCART sur « bon aliment » : 3 aliments, soit 2.0 points

slug	EN		FR		observé
olive_oil	olive oil	✓	huile d'olive	✓	vu
lemon	lemon	✓	citron	✓	vu
salt	salt	✓	sel	✓	vu
tomato	tomato	✓	tomate	✓	vu
greek_yogurt	greek yogurt	✓	yaourt grec	✓	vu
garlic	garlic	✓	ail	✓	vu
cucumber	cucumber	✓	concombre	✓	vu
black_pepper	black pepper	✓	poivre noir	✓	vu
wholemeal_bread	wholemeal bread	✓	pain complet	✓	vu
chicken_thigh	chicken thigh	✓	cuisse de poulet	✓	—
whole_eggs	eggs	✓	oeufs	✓	vu
courgette	courgette	✓	courgette	✓	vu
lettuce	lettuce	✓	laitue	✓	vu
bell_pepper	bell pepper	✓	poivron	✓	vu
onion	onion	✓	oignon	✓	vu
oats	oats	✓	flocons d'avoine	✓	vu
white_rice	white rice	✓	riz blanc	✓	vu
red_onion	red onion	✓	oignon rouge	✓	vu
potato	potato	✓	pomme de terre	✓	vu
spinach	spinach	✓	epinards	✓	vu
water	water	✓	eau	✓	vu
paprika	paprika	✓	paprika	✓	vu
carrot	carrot	✓	carotte	✓	vu
herbs_parsley	parsley	✓	persil	✓	vu
plain_yogurt	plain yogurt	✓	yaourt nature	✓	vu
honey	honey	✓	miel	✓	vu
couscous	couscous	✓	semoule	✓	vu
tuna_tinned	tinned tuna	✓	thon en conserve	✓	vu
green_beans	green beans	✓	haricots verts	✓	vu
mixed_berries	mixed berries	✓	fruits rouges	✓	vu
butter	butter	✓	beurre	✓	vu
peach	peach	✓	peche	✓	vu
cumin	cumin	✓	cumin	✓	vu
tinned_tomatoes	tinned tomatoes	✓	tomates en conserve	✓	vu
salmon	salmon	✓	saumon	✓	vu
turkey_mince	turkey mince	✓	dinde hachee	✓	vu
