generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 16129 | 19078 | 2026-08-19 03:50:22.981402+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:50:23.470014+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:50:27.362201+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:50:27.373414+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:50:27.38006+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:51:27.426326+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:51:27.447975+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:51:27.990239+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:51:32.396392+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:51:32.915152+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:51:37.592632+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:51:37.61547+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:51:37.633668+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:52:37.668954+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:52:37.693769+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:52:38.245526+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:52:44.995059+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:52:46.027048+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:52:52.67349+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:52:52.696251+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:52:52.712776+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:53:52.764152+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:53:52.789348+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:53:53.270343+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:54:03.416665+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:54:03.951984+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:54:12.9207+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:54:12.93389+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:54:12.942687+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:55:12.955401+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:55:12.961937+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:55:13.549135+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:55:29.968832+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:55:30.762001+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:55:46.380093+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:55:46.39367+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:55:46.407117+00
