generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 16183 | 17784 | 2026-08-19 02:51:30.109128+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:51:30.900742+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:51:34.715284+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:51:34.72804+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:51:34.737186+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 02:52:34.777865+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 02:52:34.800792+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 02:52:35.691771+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 02:52:40.571424+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:52:42.029861+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:52:47.218129+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:52:47.239582+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:52:47.255431+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 02:53:47.301452+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 02:53:47.325712+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 02:53:48.005185+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 02:53:54.12891+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:53:54.812256+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:54:00.284541+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:54:00.287733+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:54:00.290389+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 02:55:00.284482+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 02:55:00.289874+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 02:55:02.328051+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 02:55:11.356409+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:55:12.042636+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:55:21.877174+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:55:21.889625+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:55:21.899829+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 02:56:21.916714+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 02:56:21.929548+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 02:56:22.528199+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 02:56:38.673465+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:56:39.207109+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:56:54.814815+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:56:54.839621+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:56:54.854853+00
generate-household-meal-v1 | gemini-3-flash-preview | success | - | - | 2026-08-19 02:57:43.446466+00
