generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 16183 | 17574 | 2026-08-19 01:57:51.364714+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 01:57:52.376787+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 01:57:56.071021+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 01:57:56.085364+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 01:57:56.094572+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 01:58:56.140108+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 01:58:56.162834+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 01:58:56.711985+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 01:59:02.271443+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 01:59:02.715094+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 01:59:07.892372+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 01:59:07.89669+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 01:59:07.900198+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 02:00:07.915+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 02:00:07.928021+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 02:00:08.408484+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 02:00:15.112077+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:00:15.767459+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:00:21.117155+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:00:21.131183+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:00:21.138801+00
generate-household-meal-v1 | gemini-3-flash-preview | success | - | - | 2026-08-19 02:01:19.466488+00
