generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 15486 | 16114 | 2026-08-19 03:17:02.454263+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:17:03.733241+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:17:06.891078+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:17:06.89947+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:17:06.907423+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:18:06.925477+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:18:06.939816+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:18:07.450275+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:18:12.149391+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:18:12.856815+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:18:17.194635+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:18:17.207304+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:18:17.215491+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:19:17.235895+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:19:17.249755+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:19:17.665557+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:19:23.750552+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:19:24.345709+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:19:29.997835+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:19:30.010298+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:19:30.017688+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:20:30.049858+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:20:30.067345+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:20:30.660183+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:20:39.612863+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:20:40.27278+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:20:49.396942+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:20:49.420702+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:20:49.439481+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:21:49.479652+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:21:49.502748+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:21:50.211777+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:22:06.774702+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:22:07.317795+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:22:22.639127+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:22:22.65566+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:22:22.664681+00
generate-household-meal-v1 | gemini-3-flash-preview | success | - | - | 2026-08-19 03:23:07.550016+00
