cas   | retenu                                     | http/s  | Paul      Claire    Leo       Nora      | morsures bites/sep/refus · avant→après(relance) | manquants (avant→après) · repli | ≥200 sous | fuites | déj+dîn/plats | perdu par la ligne (j-bouche/kcal)
FB0   | témoin                                     | 200/196 |  56%       56%       45%       52%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 19        | 0      | 13/39 | —/—
FB1   | exclude saumon@table                       | 200/126 |   —         —         —         —       | 0/0/0 · -→-(non)                             | -→76 · fb=0              | 0         | 0      | 0/20 | —/—
FB2   | exclude poulet@Paul                        | 200/235 |  31%       36%       30%       26%      | 3/0/3 · -→-(non)                             | -→9 · fb=3               | 2         | 3      | 12/41 | —/—
FB3   | exclude yaourt de soja@Nora                | 200/168 |  53%       49%       39%       44%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 14        | 0      | 13/39 | —/—
FB4   | exclude poulet@table, exclude saumon@table | 200/210 |  41%       38%       31%       52%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 20        | 20     | 13/39 | —/—
FB5   | exclude rougaille saucisse@Leo             | 200/210 |  69%       63%       52%       65%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 14        | 0      | 13/39 | —/—
FB6   | témoin + envie fajitas                     | 200/334 |  57%       52%       42%       53%      | 0/0/0 · -→-(non)                             | -→11 · fb=0              | 21        | 0      | 13/39 | —/—
FB7   | exclude noix@Claire, exclude amandes@Clair | 200/109 |  52%       48%       39%       49%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 25        | 0      | 13/39 | —/—
FB8   | prefer lentilles@table, exclude tofu@Nora  | 200/203 |  47%       43%       34%       31%      | 12/3/9 · -→-(non)                            | -→13 · fb=9              | 24        | 0      | 13/39 | —/—
FC0   | témoin                                     | 200/233 |  55%       54%       45%       48%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 13        | 0      | 13/43 | 0/0
FC2   | exclude poulet@Paul                        | 200/313 |  52%       67%       54%        —       | 3/3/0 · -→-(non)                             | -→13 · fb=0              | 2         | 3      | 13/41 | 7/8491
FC4   | exclude poulet@table, exclude saumon@table | 200/331 |  25%       23%       19%       48%      | 20/5/15 · -→-(non)                           | -→0 · fb=0               | 19        | 7      | 13/38 | 0/0
FC8   | prefer lentilles@table, exclude tofu@Nora  | 200/349 |  58%       52%       42%       51%      | 7/0/7 · -→-(non)                             | -→2 · fb=0               | 24        | 0      | 13/40 | 2/1226
FD2   | exclude poulet@Paul                        | 200/248 |  56%       53%       42%       58%      | 0/0/0 · -→-(non)                             | -→10 · fb=0              | 16        | 0      | 12/37 | 6/1050
FD4   | exclude poulet@table, exclude saumon@table | 200/285 |  62%       63%       51%       61%      | 24/6/18 · -→-(non)                           | -→4 · fb=0               | 12        | 0      | 12/37 | 0/0
FD8   | prefer lentilles@table, exclude tofu@Nora  | 200/304 |  54%       50%       41%        4%      | 5/0/12 · -→-(non)                            | -→13 · fb=0              | 16        | 0      | 13/38 | 6/8053
FB0b  | témoin                                     | 200/238 |  58%       54%       43%       61%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 15        | 0      | 13/39 | —/—
FB0c  | témoin                                     | 200/212 |  34%       34%       27%       34%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 5         | 0      | 13/39 | —/—
FB0d  | témoin                                     | 200/149 |  55%       56%       45%       53%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 26        | 0      | 13/39 | —/—
FB1r  | exclude saumon@table                       | 200/333 |  52%       52%       42%       50%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 23        | 12     | 13/39 | —/—
FB2r  | exclude poulet@Paul                        | 200/209 |  55%       49%       40%       49%      | 3/3/0 · -→-(non)                             | -→8 · fb=0               | 18        | 3      | 11/43 | —/—
FB4r  | exclude poulet@table, exclude saumon@table | 200/221 |  38%       35%       28%       31%      | 0/0/0 · -→-(non)                             | -→0 · fb=0               | 18        | 18     | 13/39 | —/—
