profil	rep	statut	duree_ms	sous_150s	etat	bloquantes	ecarts	reparations
1	1	200	98032	oui	?	?	?	0
2	1	200	160832	NON	?	?	?	4
7	1	?	?	NON	?	?	?	?
8	1	200	101139	oui	?	?	?	0
6	1	200	166829	NON	?	?	?	2
9	1	200	215032	NON	?	?	?	1
1	2	200	123703	oui	?	?	?	0
2	2	422	87528	oui	?	?	?	0
7	2	?	?	NON	?	?	?	?
8	2	200	188646	NON	?	?	?	3
6	2	200	110871	oui	?	?	?	0
9	2	200	90561	oui	?	?	?	0
1	3	422	193814	NON	?	?	?	2
2	3	200	102728	oui	?	?	?	0
7	3	?	?	NON	?	?	?	?
8	3	200	107829	oui	?	?	?	0
6	3	200	88661	oui	?	?	?	0
9	3	200	149470	oui	?	?	?	0
1	4	200	130351	oui	?	?	?	2
2	4	200	163545	NON	?	?	?	2
7	4	?	?	NON	?	?	?	?
8	4	200	143241	oui	?	?	?	1
6	4	200	100051	oui	?	?	?	0
9	4	200	248398	NON	?	?	?	3
1	5	200	90681	oui	?	?	?	0
2	5	200	102729	oui	?	?	?	0
7	5	?	?	NON	?	?	?	?
8	5	546	203329	NON	?	?	?	?
6	5	200	115245	oui	?	?	?	0
9	5	200	261538	NON	?	?	?	4
