n	profil	compte	http	duree_ms	appels	reparations	verrou	sortie
1	8	c3001	422	160552	5	4	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir8-c3001-2026-09-15T11-26-55-914Z.json
2	9	c3002	200	130769	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir9-c3002-2026-09-15T11-30-45-448Z.json
3	1	c3003	200	134244	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir1-c3003-2026-09-15T11-32-58-022Z.json
4	2	c3004	200	104294	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir2-c3004-2026-09-15T11-35-13-679Z.json
5	7	c3005	200	106439	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir7-c3005-2026-09-15T11-36-59-396Z.json
6	6	c3006	422	141122	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir6-c3006-2026-09-15T11-38-47-290Z.json
7	1	c3007	200	93289	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir1-c3007-2026-09-15T11-41-09-836Z.json
8	2	c3008	200	115467	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir2-c3008-2026-09-15T11-42-44-824Z.json
9	7	c3009	200	85193	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir7-c3009-2026-09-15T11-44-41-912Z.json
10	6	c3010	200	94925	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir6-c3010-2026-09-15T11-46-08-518Z.json
11	8	c3011	200	97922	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir8-c3011-2026-09-15T11-47-44-880Z.json
12	9	c3012	200	112617	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir9-c3012-2026-09-15T11-49-24-240Z.json
13	1	c3013	422	121945	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir1-c3013-2026-09-15T11-51-18-299Z.json
14	2	c3014	200	89649	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir2-c3014-2026-09-15T11-53-21-617Z.json
15	7	c3015	200	107038	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir7-c3015-2026-09-15T11-54-52-638Z.json
16	6	c3016	200	86331	1	0	non	/Users/ahmedamara/Dev/Sophia 2/scratchpad/2026-09-11-FIABILITE-RECETTES/sorties-lot-F/campagne-tir6-c3016-2026-09-15T11-56-41-135Z.json
