generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 15486 | 16114 | 2026-08-19 02:19:45.446153+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:19:45.976837+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:19:49.100633+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:19:49.112038+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:19:49.120257+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 02:20:49.175116+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 02:20:49.197014+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 02:20:49.96858+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 02:20:54.854933+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:20:55.370885+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:21:00.572521+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:21:00.57847+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:21:00.581065+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 02:22:00.598197+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 02:22:00.606638+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 02:22:01.086673+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 02:22:07.701732+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:22:08.23777+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:22:14.596043+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:22:14.608835+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:22:14.614904+00
generate-household-meal-v1 | gemini-3-flash-preview | success | - | - | 2026-08-19 02:23:03.695632+00
