generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 16183 | 17580 | 2026-08-19 02:23:07.21958+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:23:08.007143+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:23:11.02751+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:23:11.040017+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:23:11.049473+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 02:24:11.063328+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 02:24:11.073082+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 02:24:11.506588+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 02:24:15.846803+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 02:24:16.320004+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 02:24:20.654238+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 02:24:20.663348+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 02:24:20.673226+00
generate-household-meal-v1 | gemini-3-flash-preview | success | - | - | 2026-08-19 02:25:12.817274+00
