generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 15486 | 17479 | 2026-08-19 04:21:35.079595+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:21:35.863533+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:21:39.635986+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:21:39.647889+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:21:39.652346+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 04:22:39.691011+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 04:22:39.715971+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 04:22:40.686934+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 04:22:46.189063+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:22:46.921287+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:22:51.106275+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:22:51.110457+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:22:51.114819+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 04:23:51.162344+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 04:23:51.188255+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 04:23:51.645718+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 04:23:58.317205+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:23:58.818387+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:24:04.925668+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:24:04.933918+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:24:04.940249+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 04:25:04.957845+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 04:25:04.970034+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 04:25:05.718069+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 04:25:15.10207+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:25:15.618483+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:25:24.733168+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:25:24.741322+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:25:24.746154+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 04:26:24.786557+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 04:26:24.80008+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 04:26:25.562033+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 04:26:42.169359+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:26:42.800044+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:26:58.799155+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:26:58.812289+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:26:58.816877+00
