generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 16129 | 19078 | 2026-08-19 03:42:32.973839+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:42:33.747144+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:42:37.057331+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:42:37.071325+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:42:37.07896+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:43:37.120507+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:43:37.147338+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:43:38.016611+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:43:42.47706+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:43:43.181778+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:43:47.68124+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:43:47.701937+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:43:47.718044+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:44:47.785733+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:44:47.810218+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:44:48.53573+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:44:55.281439+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:44:56.62357+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:45:03.196334+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:45:03.209879+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:45:03.216344+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:46:03.227251+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:46:03.241075+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:46:03.74811+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:46:13.329261+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:46:13.881679+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:46:23.194013+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:46:23.207614+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:46:23.216695+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:47:23.250756+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:47:23.262159+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:47:23.911566+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:47:40.394926+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:47:41.181075+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:47:57.022741+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:47:57.046468+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:47:57.064285+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:48:57.10863+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:48:57.132233+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:48:57.651833+00
