generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 16129 | 19078 | 2026-08-19 04:07:02.880132+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:07:03.765441+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:07:08.137652+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:07:08.147436+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:07:08.153113+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 04:08:08.1782+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 04:08:08.196546+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 04:08:08.910742+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 04:08:14.282238+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:08:14.789716+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:08:18.988942+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:08:18.995067+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:08:18.999692+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 04:09:19.020386+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 04:09:19.034652+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 04:09:19.605626+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 04:09:26.118509+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:09:26.676749+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:09:32.334145+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:09:32.341912+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:09:32.345958+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 04:10:32.383759+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 04:10:32.407753+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 04:10:33.14904+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 04:10:43.217345+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:10:44.142723+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:10:54.011857+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:10:54.015638+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:10:54.017577+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 04:11:54.051587+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 04:11:54.074269+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 04:11:55.590016+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 04:12:11.603021+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 04:12:12.139534+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 04:12:27.639719+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 04:12:27.650609+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 04:12:27.655235+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 04:13:27.667856+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 04:13:27.681563+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 04:13:28.305322+00
