generate-household-meal-v1 | gpt-5.4-mini | attempt_start | 16183 | 17784 | 2026-08-19 03:10:21.172988+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:10:22.068982+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:10:25.327764+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:10:25.338935+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:10:25.345743+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:11:25.371565+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:11:25.389337+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:11:25.900021+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:11:30.820465+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:11:31.658578+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:11:37.06791+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:11:37.089778+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:11:37.10624+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:12:37.158943+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:12:37.18265+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:12:37.712115+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:12:43.150843+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:12:43.856033+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:12:50.851161+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:12:50.87419+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:12:50.890674+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:13:50.93427+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:13:50.965195+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:13:51.438916+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:14:00.69195+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:14:01.424152+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:14:11.076141+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:14:11.084923+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:14:11.092351+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:15:11.113353+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:15:11.125876+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:15:11.805754+00
generate-household-meal-v1 | gpt-5.4-mini | attempt_start | - | - | 2026-08-19 03:15:28.443181+00
generate-household-meal-v1 | gpt-5.4-mini | retryable_status | - | - | 2026-08-19 03:15:29.007514+00
generate-household-meal-v1 | gemini-3-flash-preview | attempt_start | - | - | 2026-08-19 03:15:44.788258+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_wait_start | - | - | 2026-08-19 03:15:44.81079+00
generate-household-meal-v1 | gemini-3-flash-preview | limiter_acquired | - | - | 2026-08-19 03:15:44.826971+00
generate-household-meal-v1 | gemini-3-flash-preview | timeout_or_abort | - | - | 2026-08-19 03:16:44.857043+00
generate-household-meal-v1 | gpt-5.4-nano | attempt_start | - | - | 2026-08-19 03:16:44.880468+00
generate-household-meal-v1 | gpt-5.4-nano | retryable_status | - | - | 2026-08-19 03:16:45.314391+00
